xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
127.0;0.0;40.0;20.0;1.0;0.0
168.0;0.0;98.0;40.0;1.0;0.0
0.0;0.0;0.0;71.0;0.0;0.0
111.0;0.0;0.0;94.0;1.0;0.0
0.0;112.0;0.0;4.0;0.0;1.0
130.0;0.0;0.0;33.0;1.0;0.0
130.0;0.0;27.0;60.0;1.0;0.0
168.0;0.0;93.0;90.0;1.0;0.0
0.0;0.0;0.0;110.0;0.0;0.0
154.0;0.0;46.0;138.0;1.0;0.0
0.0;165.0;103.0;0.0;0.0;1.0
0.0;0.0;2.0;32.0;0.0;0.0
168.0;0.0;83.0;59.0;1.0;0.0
0.0;0.0;0.0;93.0;0.0;0.0
156.0;0.0;57.0;127.0;1.0;0.0
0.0;162.0;114.0;0.0;0.0;1.0
0.0;0.0;21.0;29.0;0.0;0.0
168.0;0.0;94.0;65.0;1.0;0.0
0.0;0.0;0.0;91.0;0.0;0.0
0.0;109.0;7.0;8.0;0.0;1.0
115.0;0.0;20.0;42.0;1.0;0.0
168.0;0.0;94.0;61.0;1.0;0.0
0.0;0.0;0.0;87.0;0.0;0.0
0.0;114.0;20.0;0.0;0.0;1.0
168.0;0.0;86.0;29.0;1.0;0.0
0.0;0.0;2.0;57.0;0.0;0.0
168.0;0.0;78.0;92.0;1.0;0.0
0.0;0.0;0.0;117.0;0.0;0.0
0.0;131.0;12.0;15.0;0.0;1.0
163.0;0.0;101.0;47.0;1.0;0.0
0.0;0.0;0.0;72.0;0.0;0.0
96.0;0.0;0.0;101.0;1.0;0.0
133.0;0.0;29.0;135.0;1.0;0.0
0.0;168.0;100.0;0.0;0.0;1.0
0.0;0.0;0.0;39.0;0.0;0.0
168.0;0.0;78.0;58.0;1.0;0.0
0.0;0.0;0.0;84.0;0.0;0.0
0.0;100.0;0.0;15.0;0.0;1.0
144.0;0.0;28.0;44.0;1.0;0.0
168.0;0.0;88.0;76.0;1.0;0.0
0.0;0.0;0.0;102.0;0.0;0.0
156.0;0.0;50.0;135.0;1.0;0.0
0.0;168.0;116.0;0.0;0.0;1.0
0.0;0.0;0.0;22.0;0.0;0.0
163.0;0.0;53.0;45.0;1.0;0.0
168.0;0.0;100.0;69.0;1.0;0.0
0.0;0.0;0.0;99.0;0.0;0.0
0.0;112.0;21.0;18.0;0.0;1.0
167.0;0.0;90.0;46.0;1.0;0.0
0.0;0.0;0.0;74.0;0.0;0.0
0.0;104.0;0.0;0.0;0.0;1.0
105.0;0.0;0.0;31.0;1.0;0.0
